url,risk_score,verdict,comment,timestamp,url_length,num_dots,has_https,has_ip,num_subdirs,num_params,suspicious_words,special_char_count,digits_count,version https://git-lfs.github.com/spec/v1
http://103.20.213.34:8080/free-shop-login,100.0,phishing,Correctly identified as phishing,2026-06-28T22:45:47.177018,41.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,14.0,
http://192.168.1.1/login,97.9,phishing,Correctly identified as phishing,2026-06-28T23:16:30.350843,24.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,8.0,
http://free-gift-offer.biz,46.43,phishing,Correctly identified as phishing,2026-06-28T23:17:02.384102,26.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
http://free-gift-offer.biz,46.43,phishing,Correctly identified as phishing,2026-06-28T23:22:01.111522,26.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,
http://103.20.213.34:8080/free-shop-login,100.0,phishing,Correctly identified as phishing,2026-06-28T23:29:43.978454,41.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,14.0,
http://103.20.213.34:8080/free-shop-login,100.0,phishing,Correctly identified as phishing,2026-06-28T23:51:44.169059,41.0,3.0,0.0,1.0,1.0,0.0,2.0,2.0,14.0,
http://secure-banking-update-verify-profile.link,76.57,phishing,Correctly identified as phishing,2026-06-29T00:16:50.029486,48.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,
https://www.google.com,5.95,safe,Correctly identified as safe,2026-06-29T00:17:33.484340,22.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
https://www.amazon.com,5.95,safe,Correctly identified as safe,2026-06-29T00:23:43.195728,22.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,
https://paypal.com.customer-support-portal.net-payment.top,67.27000000000001,phishing,Correctly identified as phishing,2026-06-29T00:24:08.443248,58.0,4.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,
https://amazon.com.verify-account.login-secure-server.xyz,97.27,phishing,Correctly identified as phishing,2026-06-29T00:24:27.695508,57.0,4.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,
https://www.vvallmart-clearance.com/cart,38.27,phishing,Correctly identified as phishing,2026-06-29T00:37:19.875507,40.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
https://www.app1e-id-verification.org,44.41,phishing,Correctly identified as phishing,2026-06-29T00:37:49.245563,37.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,
http://mega-discount-clearance-sale.online/shop,93.15,phishing,Correctly identified as phishing,2026-06-29T13:38:32.631414,47.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,
https://paypal.com.customer-support-portal.net-payment.top/update,100.0,phishing,,2026-06-29T13:44:56.022833,65.0,4.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,
https://netflix.com.account-alert.billing-info.update-login.site/,100.0,phishing,,2026-06-29T13:56:07.068949,65.0,5.0,1.0,0.0,1.0,0.0,4.0,3.0,0.0,
https://www.nike.com/in/t/air-max-shoes-PmlK0x,100.0,safe,,2026-06-29T14:12:11.287733,46.0,2.0,1.0,0.0,3.0,0.0,0.0,3.0,1.0,
https://www.myntra.com/men-casual-shirts,72.46,safe,,2026-06-29T14:12:46.764973,40.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,
https://www.boat-lifestyle.com/collections/wireless-earphones,100.0,safe,,2026-06-29T14:13:11.280097,61.0,2.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,
https://www.blinkit.com/categories/grocery-staples,100.0,safe,,2026-06-29T14:13:33.851894,50.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,
https://www.flipkartt-reward-claims.net/offers,78.15,phishing,,2026-06-29T14:14:56.441245,46.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,
,,,,,,,,,,,,,,oid sha256:bcbfb1997efc9b866bd9a7e8aa86b33f37a964a933fe8ab4d50e31de34738081
,,,,,,,,,,,,,,size 383
https://www.amazon.com,5.0,safe,,2026-08-01T00:22:00.270036,,,,,,,,,,
https://www.flipkart.com/,5.0,safe,,2026-08-01T00:26:28.022645,,,,,,,,,,
https://www.apple.com/in/,5.0,safe,,2026-08-01T00:26:48.014167,,,,,,,,,,
https://filmasit.com/,0.0,phishing,,2026-08-01T11:52:07.189035,,,,,,,,,,
http://103.20.213.34:8080/free-shop-login,95.0,phishing,,2026-08-01T11:53:12.617236,,,,,,,,,,
https://filmasit.com/,0.0,phishing,,2026-08-01T12:11:22.537536,,,,,,,,,,
